"Projeto","CommitsPorDesenvolvedor","VariabilidadesPorDesenvolvedor","DesenvolvedoresPorVariabilidade"
"Bison",0.866448920341136,0.658316633266533,0.169325798125815
"Cherokee",0.859146341463415,0.733402489626556,0.0203073352556438
"Collected",0.895928146017146,0.806367771280052,0.125290905836019
"Gawk",0.776726144297905,0.788781431334623,0.01335381347897
"Gnuplot",0.8764762593396,0.718729064982295,0.186444681696039
"Hexchat",0.711459252721389,0.612417118746233,0.225433044636909
"Irsii",0.880766876286939,0.728932584269663,0.114232209737828
"Libexpat",0.736617183985605,0.697222222222222,0.0997222222222222
"Libpng",0.853218591987553,0.793896321070234,0.126460372361075
"LibSoup",0.881624423963134,0.741071428571429,0.253810975609756
"Libssh",0.907739867835163,0.687417654808959,0.262147641475941
"Lighttpd",0.228136882129278,0.340425531914894,0.0937183383991895
"M4",0.56872037914692,0.284221525600836,0.178933580584868
"OpenSC",0.704060602684788,0.631993299832496,0.30455365631245
"OpenVPN",0.689730589521821,0.63309489747258,0.283861617787315
"Totem",0.945788898003828,0.679536679536679,0.172593646277857
"Uwsgi",0.896760391198044,0.765883977900553,0.295545435631892
"Xterm",0,0,0
