"Arquivo","Desenvolvedor"
"abitset.c",1
"alloca.c",1
"allocate.c",1
"AnnotationList.c",2
"ansi2knr.c",1
"argmatch.c",2
"assoc.c",2
"basename.c",2
"bindtextdom.c",1
"bitset_stats.c",1
"bitset.c",2
"bitsetv-print.c",2
"bitsetv.c",2
"cat-compat.c",1
"cat-id-tbl.c",1
"closure.c",1
"complain.c",1
"conflicts.c",1
"counterexample.c",1
"dcgettext.c",1
"dcigettext.c",1
"dcngettext.c",1
"derivation.c",2
"derives.c",1
"dgettext.c",1
"dirname.c",2
"dngettext.c",1
"ebitset.c",1
"error.c",2
"explodename.c",1
"files.c",1
"finddomain.c",1
"fixits.c",1
"get-errno.c",2
"getargs.c",1
"getopt.c",2
"getopt1.c",2
"gettext.c",1
"glr.c",1
"glyphs.c",1
"gram.c",1
"graphviz.c",1
"hash.c",2
"i18n-strings.c",1
"ielr.c",1
"InadequacyList.c",2
"injections.c",2
"intl-compat.c",1
"l10nflist.c",1
"lalr.c",1
"lbitset.c",1
"lex.c",1
"loadmsgcat.c",1
"localcharset.c",1
"localealias.c",1
"location.c",1
"lr0.c",1
"LR0.c",1
"lssi.c",2
"macrotab.c",2
"main.c",1
"malloc.c",2
"mbswidth.c",1
"memchr.c",1
"memcmp.c",1
"memrchr.c",2
"mkstemp.c",2
"muscle_tab.c",3
"muscle-tab.c",1
"named-ref.c",3
"ngettext.c",1
"nullable.c",1
"obstack.c",2
"options.c",2
"output.c",1
"parse-gram.c",1
"parse-simulation.c",2
"path-join.c",1
"plural.c",1
"print_graph.c",1
"print-graph.c",2
"print-xml.c",1
"print.c",1
"push.c",1
"quote.c",2
"quotearg.c",1
"reader.c",1
"readpipe.c",1
"realloc.c",2
"reduce.c",1
"relation.c",3
"sbitset.c",1
"Sbitset.c",3
"scan-code-c.c",2
"scan-gram-c.c",1
"scan-gram.c",1
"scan-skel-c.c",1
"state-item.c",2
"state.c",1
"stpcpy.c",1
"strcasecmp.c",2
"strchr.c",2
"strncasecmp.c",1
"strndup.c",1
"strnlen.c",2
"strrchr.c",1
"strspn.c",2
"strtol.c",1
"strtoul.c",1
"struniq.c",2
"strversion.c",1
"subpipe.c",2
"symlist.c",1
"symtab.c",1
"tables.c",1
"tempname.c",2
"textdomain.c",1
"timevar.c",2
"uniqstr.c",2
"vbitset.c",2
"vcg.c",2
"version.c",1
"vmsgetargs.c",2
"warshall.c",2
"xmalloc.c",2
"xstrdup.c",1
"xstrndup.c",1
"yacc.c",1
"yyerror.c",3
