"Arquivo","Variabilidades"
"access.c",7
"balancer_ip_hash.c",1
"bind.c",4
"bogotime.c",2
"buffer.c",2
"cache.c",2
"cherokee_logrotate.c",1
"cherokee_replace.c",3
"cherokee_show.c",1
"collector_rrd.c",2
"connection.c",11
"cryptor_libssl_dh_1024.c",1
"cryptor_libssl_dh_2048.c",1
"cryptor_libssl_dh_4096.c",1
"cryptor_libssl_dh_512.c",1
"cryptor_libssl.c",4
"deflate.c",6
"deftree.c",6
"dirs_table.c",1
"downloader.c",3
"dtm.c",3
"error_log.c",1
"ext_source.c",1
"fdpoll-select.c",3
"fdpoll-win32.c",2
"fdpoll.c",4
"getopt.c",12
"getopt1.c",7
"handler_cgi_base.c",1
"handler_cgi.c",9
"handler_common.c",3
"handler_dirlist.c",5
"handler_fcgi.c",1
"handler_file.c",3
"handler_phpcgi.c",5
"handler_redir.c",1
"handler_scgi.c",1
"handler_secdownload.c",1
"handler_server_info.c",2
"handler_streaming.c",2
"header.c",4
"info.c",14
"init.c",2
"iocache.c",6
"logger_ncsa.c",3
"logger_w3c.c",5
"logger_writer.c",3
"logger.c",1
"main_admin.c",6
"main_guardian.c",2
"main_tweak.c",5
"main_worker.c",10
"main.c",14
"module_loader.c",3
"module_read_config.c",1
"ncpus.c",7
"nonce.c",1
"pcre_compile.c",6
"pcre_exec.c",6
"pcre_globals.c",1
"pcre_newline.c",1
"pcre_tables.c",1
"pcre.c",7
"plugin_loader.c",3
"proxy_hosts.c",1
"regex.c",1
"resolv_cache.c",2
"rrd_tools.c",1
"rule_list.c",1
"server.c",34
"sha1.c",3
"sha512.c",1
"shm.c",1
"socket.c",45
"source_interpreter.c",3
"source.c",1
"spawn-fcgi.c",6
"spawner.c",2
"tdate_parse.c",1
"thread.c",5
"threading.c",4
"trace.c",3
"url.c",1
"util.c",77
"validator_htpasswd.c",3
"validator_ldap.c",3
"validator_pam.c",2
"virtual_entries.c",2
"virtual_server.c",6
"win32_cherokeeserv.c",2
"win32_cservice.c",1
"win32_misc.c",8
